site,Lat,Lon
BART,44.06388,-71.28731
HARV,42.5369,-72.17266
HOPB,42.47179,-72.32963
BLAN,39.06026,-78.07164
SCBI,38.89292,-78.1395
SERC,38.89008,-76.56001
LEWI,39.09564,-77.98322
POSE,38.89332,-78.14678
DSNY,28.12504,-81.4362
JERC,31.19484,-84.46861
OSBS,29.68927,-81.99343
BARC,29.67647,-82.00909
FLNT,31.18542,-84.4374
SUGG,29.68705,-82.01617
GUAN,17.96955,-66.8687
LAJA,18.02125,-67.0769
CUPE,18.11352,-66.98676
GUIL,18.1741,-66.79851
STEI,45.50895,-89.58636
TREE,45.49369,-89.58571
UNDE,46.23388,-89.53725
CRAM,46.21111,-89.47825
LIRO,45.998269,-89.704767
KONA,39.11044,-96.61295
KONZ,39.10077,-96.56309
UKFS,39.04043,-95.19215
KING,39.10506,-96.60336
MCDI,38.94428,-96.44197
GRSM,35.689111,-83.501944
MLBS,37.37828,-80.52484
ORNL,35.96412,-84.2826
LECO,35.69043,-83.50379
WALK,35.95947,-84.28041
DELA,32.54172,-87.80389
LENO,31.85388,-88.16122
TALL,32.95046,-87.39327
BLWA,32.54153,-87.79815
MAYF,32.95966,-87.40813
TOMB,31.8521,-88.16107
DCFS,47.16165,-99.10656
NOGP,46.76972,-100.91535
WOOD,47.12823,-99.24136
PRLA,47.15909,-99.11388
PRPO,47.12999,-99.25055
CPER,40.81553,-104.7456
RMNP,40.27591,-105.54592
STER,40.4619,-103.0293
ARIK,39.75825,-102.4471
CLBJ,33.401231,-97.570033
OAES,35.41059,-99.05879
BLUE,34.44422,-96.6242
PRIN,33.37859,-97.78226
YELL,44.95348,-110.53914
BLDE,44.95011,-110.58715
MOAB,38.24833,-109.38827
NIWO,40.05425,-105.58237
COMO,40.03496,-105.54487
WLOU,39.89137,-105.9154
JORN,32.59068,-106.84254
SRER,31.91068,-110.83549
SYCA,33.74906,-111.5069
ONAQ,40.17759,-112.45244
REDB,40.78374,-111.79765
ABBY,45.76243,-122.33033
WREF,45.82049,-121.95191
MART,45.79125,-121.93196
MCRA,44.2596,-122.16555
SJER,37.10878,-119.73228
SOAP,37.03337,-119.26219
TEAK,37.00583,-119.00602
BIGC,37.058,-119.256
TECR,36.95528,-119.02699
BARR,71.28241,-156.61936
TOOL,68.66109,-149.37047
OKSR,68.66975,-149.14302
TOOK,68.62956,-149.61051
DEJU,63.88112,-145.75136
HEAL,63.87569,-149.21334
BONA,65.15401,-147.50258
CARI,65.15306,-147.50246
PUUM ,19.55309,-155.31731
